Year,SS,Time,Last Lap
2017,0,875.6,55.76
2017,0,875.88,56.19
2017,0,876.23,56.41
2017,0,876.57,56.31
2017,0,876.78,56.69
2017,0,876.79,56.8
2017,0,878.03,58.39
2017,0,878.4,58.14
2017,0,878.44,57.98
2017,0,878.45,58.79
2017,0,881.5,60.35
2017,0,882.94,61.47
2017,0,883.36,62.69
2017,0,883.49,59.84
2017,0,883.5,61.69
2017,0,885.28,61.19
2017,0,885.63,60.21
2017,0,890.62,63.03
2017,0,890.92,64.45
2017,0,893.63,64.75
2017,0,895.95,71.67
2017,0,899.12,67.87
2017,0,900.5,68.7
2017,0,904.42,74.54
2018,0,834.81,56.53
2018,0,835.03,56.18
2018,0,835.04,56.4
2018,0,835.46,56.57
2018,0,836.37,57.94
2018,0,837.4,58.32
2018,0,838.01,58.57
2018,0,838.2,58.56
2018,0,839.6,59.6
2018,0,840.01,58.53
2018,0,840.96,58.75
2018,0,842.17,62.78
2018,0,843.06,61.93
2018,0,843.57,61.76
2018,0,844.08,60.88
2018,0,846.4,63.92
2018,0,848.18,64.25
2018,0,851.95,68.97
2018,0,856.56,71.66
2018,0,859.36,71.94
2018,0,860.9,68.82
2018,0,867.22,75.72
2018,0,868.97,68.34
2018,0,869.12,65.95
2019,0,846.01,52.91
2019,0,846.63,53.61
2019,0,847.92,54.25
2019,0,848.12,54.32
2019,0,848.26,54.97
2019,0,849,55.81
2019,0,849.2,55.8
2019,0,849.62,56.13
2019,0,850.19,56.6
2019,0,853.18,58.16
2019,0,853.57,59.29
2019,0,853.91,59.85
2019,0,857.59,61.36
2019,0,858.03,62.8
2019,0,860.86,64.15
2019,0,862.92,62.51
2019,0,864.41,67.43
2019,0,865.54,67.69
2019,0,867.38,65.79
2019,0,869.13,68.01
2019,0,892.83,73.75
2019,0,904.51,75.04
2019,0,916,75.65
2021,1,792.27,54.92
2021,1,793.14,55.54
2021,1,793.47,55.38
2021,1,798.95,56.02
2021,1,799.11,60.97
2021,1,799.85,58.54
2021,1,800.88,59.84
2021,1,801.4,60.46
2021,1,803.48,59.13
2021,1,804.68,62.21
2021,1,805.65,62.1
2021,1,807.26,62.27
2021,1,810.87,64.5
2021,1,811.27,58.95
2021,1,813.89,63.49
2021,1,814.56,64.57
2021,1,816.43,63.85
2021,1,819.67,65.34
2021,1,824.53,61.8
2021,1,826.42,62.02
2021,1,826.44,67.08
2021,1,836.48,71.08
2021,1,838.26,71.53
2021,1,849.6,68.44
2022,1,807.73,54.62
2022,1,808.38,55.36
2022,1,808.62,55.28
2022,1,810.23,56.44
2022,1,810.82,55.75
2022,1,811.23,57.79
2022,1,811.39,55.41
2022,1,811.6,56.73
2022,1,812.53,57.04
2022,1,813.2,58.98
2022,1,813.46,58.3
2022,1,814.01,58.52
2022,1,814.36,57.61
2022,1,816.4,60.11
2022,1,817.13,61.06
2022,1,817.6,62.29
2022,1,819.21,63.55
2022,1,825.54,64.13
2022,1,827.61,62.14
2022,1,828.37,65.84
2022,1,830.03,63.67
2022,1,833.09,61.12
2022,1,835.07,69.06
2022,1,840.95,64.82
2023,1,844.77,55.54
2023,1,846.53,56.61
2023,1,846.77,57.15
2023,1,847.18,57.13
2023,1,847.5,57.74
2023,1,849.03,57.71
2023,1,849.57,58.69
2023,1,850.17,60.16
2023,1,851.13,58.58
2023,1,851.82,59.11
2023,1,852.54,60.09
2023,1,854.16,63.83
2023,1,854.36,61.3
2023,1,859.1,61.76
2023,1,859.91,61.41
2023,1,862.79,65.9
2023,1,864.71,64.59
2023,1,867.7,69.51
2023,1,868.89,65.75
2023,1,870.36,64.12
2023,1,877.57,70.46
2023,1,885.44,68.64
2023,1,889.31,71.26
